X_Value,Voltage_0,Voltage_1
0.486,1.852558,1.462718
0.487,1.877393,1.597591
0.488,1.900938,1.698021
0.489,1.922225,1.763687
0.49,1.941576,1.862186
0.491,1.968024,1.914011
0.492,1.992536,1.898238
0.493,2.016081,1.92399
0.494,2.045753,1.904676
0.495,2.065428,1.844804
0.496,2.090585,1.770447
0.497,2.115742,1.74373
0.498,2.136061,1.697055
0.499,2.158316,1.670982
0.5,2.189924,1.712184
0.501,2.211533,1.752421
0.502,2.235078,1.806177
0.503,2.258945,1.892444
0.504,2.280555,2.039871
0.505,2.307002,2.118413
0.506,2.331514,2.182148
0.507,2.352801,2.296742
0.508,2.376991,2.325069
0.509,2.402471,2.312837
0.51,2.431499,2.311228
0.511,2.455688,2.294167
0.512,2.479878,2.206612
0.513,2.500198,2.152856
0.514,2.526,2.134508
0.515,2.548577,2.077855
0.516,2.572122,2.075923
0.517,2.596957,2.14159
0.518,2.618889,2.1638
0.519,2.640821,2.232364
0.52,2.667591,2.343095
0.521,2.694361,2.462518
0.522,2.718228,2.54106
0.523,2.74016,2.632478
0.524,2.765317,2.703295
0.525,2.793055,2.709732
0.526,2.806279,2.718424
0.527,2.829824,2.714561
0.528,2.852078,2.676255
0.529,2.87401,2.578721
0.53,2.902393,2.542347
0.531,2.922712,2.526253
0.532,3.001087,2.468634
0.533,2.965609,2.478934
0.534,2.938516,2.533656
0.535,2.8982,2.573249
0.536,2.877236,2.629581
0.537,2.851433,2.74836
0.538,2.825953,2.830121
0.539,2.802408,2.877439
0.54,2.780799,2.954694
0.541,2.758222,2.98624
0.542,2.735967,2.946003
0.543,2.714358,2.942462
0.544,2.69049,2.895144
0.545,2.667268,2.805657
0.546,2.643078,2.700397
0.547,2.619211,2.640525
0.548,2.593731,2.559086
0.549,2.570832,2.500179
0.55,2.540836,2.50533
0.551,2.521162,2.510802
0.552,2.50181,2.527862
0.553,2.477943,2.576146
0.554,2.453753,2.684947
0.555,2.427951,2.72454
0.556,2.403116,2.748682
0.557,2.377959,2.822395
0.558,2.352156,2.812417
0.559,2.326354,2.757695
0.56,2.303132,2.713273
0.561,2.282167,2.652435
0.562,2.259268,2.524643
0.563,2.23411,2.426144
0.564,2.209276,2.364018
0.565,2.181861,2.265519
0.566,2.159284,2.2182
0.567,2.132514,2.240733
0.568,2.110904,2.217235
0.569,2.087037,2.242342
0.57,2.064782,2.305755
0.571,2.041883,2.381079
0.572,2.018983,2.416165
0.573,1.995761,2.463805
0.574,1.969959,2.490201
0.575,1.943189,2.448998
0.576,1.915774,2.412302
0.577,1.891907,2.361765
0.578,1.870297,2.277751
0.579,1.846753,2.132577
0.58,1.823853,2.050816
0.581,1.798696,1.989656
0.582,1.772571,1.87635
0.583,1.750962,1.844804
0.584,1.728385,1.859289
0.585,1.705163,1.863796
0.586,1.680328,1.886328
0.587,1.655171,1.972596
0.588,1.632594,2.027318
0.589,1.606146,2.048884
0.59,1.582279,2.100387
0.591,1.558735,2.107469
0.592,1.536158,2.045344
0.593,1.509388,2.022167
0.594,1.488746,1.955857
0.595,1.464234,1.848345
0.596,1.439722,1.72667
0.597,1.416822,1.648128
0.598,1.39102,1.557032
0.599,1.366508,1.482997
0.6,1.334255,1.477847
0.601,1.318128,1.469799
0.602,1.293294,1.472696
0.603,1.269749,1.512611
0.604,1.241689,1.610144
0.605,1.219112,1.642977
0.606,1.19718,1.657463
0.607,1.174603,1.728923
0.608,1.149446,1.710253
0.609,1.126224,1.650703
0.61,1.102035,1.601131
0.611,1.079458,1.534822
0.612,1.054945,1.398983
0.613,1.029143,1.296299
0.614,1.006889,1.22838
0.615,0.981732,1.127306
0.616,0.957542,1.076125
0.617,0.934965,1.095117
0.618,0.911421,1.071619
0.619,0.887553,1.090288
0.62,0.858526,1.150482
